pattern,variant,introduction,style,buildings
三交六椀菱花,满天星三交六椀菱花,在标准的三交六椀菱花基础上，于每个由棂条围合而成的三角形空隙中心，增加一个圆形或花形的装饰构件。这些新增的构件如同夜空中的繁星，均匀地散布在菱花网格之间，使整个图案显得更加饱满、繁复，富有层次感。,庄重、华丽,太和殿、中和殿
三交六椀菱花,三交六椀嵌艾叶菱花,以三交六椀菱花为基本骨架，在每个菱花的六个花瓣外侧，增加了形似艾草叶片的卷曲装饰。这些“艾叶”从菱花中心向外舒展，与几何网格自然衔接，既保留了菱花的规整性，又增添了自然的灵动之美。,典雅、自然,千秋亭、万春亭
三交六椀菱花,三交灯球嵌六椀菱花,在三交六椀菱花的每个六角形空隙中心，镶嵌圆形“灯球”状构件，形似宫灯，边缘常饰以卷草或花瓣纹，与菱花骨架形成虚实对比，增强立体感与视觉焦点。,华丽、富贵,养性门
三交六椀菱花,三交六椀嵌橄榄菱花,在菱花交叉点嵌入橄榄形或球状装饰，形似古代“毬”，整体排列紧密，纹样细密如织锦，结构严谨，装饰性强，体现皇家建筑的精致工艺。,精致、尊贵,钦安殿
双交四椀菱花,双交四椀嵌圆珠菱花,棂条斜向交叉，构成菱形网格，每个交叉点处嵌有金色圆珠装饰，菱花中心为圆形空窗。整体结构疏密有致，圆珠点缀使图案更显灵动，兼具几何秩序与装饰趣味。,典雅、精致,坤宁宫
双交四椀菱花,素面双交四椀菱花,采用斜向双交四椀菱花的基本骨架，棂条纤细，无额外装饰构件，仅保留菱形网格与圆形空窗的纯粹几何形态。结构简洁明快，线条流畅，突出传统窗格的简约之美。,简洁、素雅,景仁宫
双交四椀菱花,双交四椀嵌花瓣菱花,在斜交双交四椀菱花的交叉点处，装饰有红色花瓣状构件，形似绽放的花朵，与金色圆珠搭配，形成“花蕊”效果。花瓣纹样柔化了菱形的硬朗线条，增添了几分生机。,华丽、生动,武英殿
双交四椀菱花,正交双交四椀菱花,棂条呈正交，形成方格与菱形相间的网格，每个方格中心为圆形空窗。结构方正严谨，线条刚直，体现皇家建筑的庄重与威严，是等级较高的窗格形式。,威严、规整,太和门
步步锦,步步锦嵌如意云头菱花,以步步锦的横竖棂条构成基础方格，在四个边角及中心方格的连接处，嵌入如意云头状的装饰构件，云头线条流畅，与步步锦的直线形成曲直对比，丰富了图案层次。,典雅、灵动,储秀宫、翊坤宫
步步锦,步步锦素面方格纹,采用步步锦的基本骨架，由横竖棂条垂直交叉形成大小不一的方格，无任何额外装饰，仅保留纯粹的几何线条，结构简洁明快，线条刚直有力，突出传统窗格的简约秩序感。,简洁、规整,养心殿
步步锦,步步锦嵌蝙蝠纹,以“步步锦”为基本骨架，由横竖棂条构成规整的方格与矩形组合。在格子的关键节点处，嵌入了形态生动的蝙蝠纹样，寓意“福到”。此外，在上下横梁处还点缀有圆形“团福”或“团寿”纹，与蝙蝠纹相呼应，强化了吉祥寓意。,富丽、典雅,景福宫
步步锦,步步锦嵌夔龙纹菱花,在步步锦的方格连接处，嵌入夔龙纹样的装饰构件，夔龙形态抽象，线条卷曲，与步步锦的直线棂条形成鲜明对比，增添了图案的神秘感与庄重感，体现了皇家建筑的威严。,庄重、威严,乾清门
