building_id,area,architecture,time,pattern,introduction,introduction_details
1_1,外朝中路（礼制核心区）,午门,明永乐十八年（1420），清顺治四年（1647）重修,三交六椀菱花,紫禁城正门，最高等级礼制建筑，窗棂形制匹配帝王正门等级,午门是紫禁城的正门，也是最高等级的礼制建筑。它不仅是皇帝颁布诏书、接受凯旋献俘的场所，更象征着皇权的威严与国家的秩序，是进入皇宫核心区域的必经之门。
1_2,外朝中路（礼制核心区）,太和殿,明永乐十八年（1420），清康熙三十四年（1695）重建,三交六椀菱花,紫禁城核心礼制大殿，故宫窗棂最高等级形制，菱花为水生纹样，暗含防火的文化寓意,太和殿是紫禁城的核心大殿，也是国家举行登基、大婚、册立皇后等最高规格典礼的场所。作为皇帝行使最高权力的象征性空间，这里承载了明清两代最重要的国家祭祀与朝政活动。
1_3,外朝中路（礼制核心区）,中和殿,明永乐十八年（1420），清顺治三年（1646）重修,三交六椀菱花,三大殿之一，皇帝大典前休憩、阅视之所故宫博物院,中和殿位于三大殿之中，是皇帝在太和殿举行大典前的休憩与准备场所。皇帝在此阅视祭文、接受执事官员行礼，也是连接外朝宏大仪式与具体政务处理的过渡空间。
1_4,外朝中路（礼制核心区）,保和殿,明永乐十八年（1420），明嘉靖重修,三交六椀菱花,三大殿之一，清代殿试举办地故宫博物院,保和殿是三大殿之一，功能随朝代更迭有所变化。明代主要用于大典前皇帝更衣，清代则成为每年除夕、元宵宴请王公贵族的场所，并是清代科举殿试的举办地，象征文治武功。
1_5,外朝中路（礼制核心区）,协和门,明永乐十八年（1420），明清多次灾后重修,正方格,太和殿东侧礼制通道门，外朝与内廷过渡建筑,协和门是太和殿东侧的礼制通道门，连接外朝与内廷区域。作为皇宫内部交通的重要节点，它不仅是日常通行的路径，也体现了外朝宏大建筑群与内廷生活区的过渡与分隔。
1_6,外朝中路（礼制核心区）,乾清门,明永乐十八年（1420），清顺治十二年（1655）重修,正方格,内廷正门，清代御门听政之所,乾清门是内廷的正门，也是区分外朝与内廷的界限。清代皇帝常在此举行“御门听政”，处理日常政务，同时也是连接皇帝寝宫与朝堂的重要枢纽。
1_7,外朝中路（礼制核心区）,熙和门,明永乐十八年（1420），清顺治十二年（1655）重修,正方格,太和殿西侧礼制通道门，外朝与内廷过渡建筑,熙和门是太和殿西侧的礼制通道门，与东侧的协和门遥相呼应。它作为外朝与内廷过渡的建筑，主要承担着皇宫内部人员往来与礼仪通行的功能，体现了建筑布局的对称性。
1_8,外朝中路（礼制核心区）,体仁阁,清乾隆三十七年（1772）,"一马三箭,斜方格",太和殿东侧的礼制配阁，与西侧弘义阁遥相呼应,体仁阁位于太和殿东侧，与西侧的弘义阁遥相呼应。作为外朝的礼制配阁，它主要用于存放皇帝大婚时的册宝及科举殿试的档案，是太和殿广场的重要附属建筑。
1_9,外朝中路（礼制核心区）,弘义阁,明永乐十八年（1420）,"一马三箭,斜方格",太和殿西侧的礼制配阁，与东侧体仁阁遥相呼应,弘义阁位于太和殿西侧，与东侧的体仁阁遥相呼应。作为外朝的礼制配阁，它主要用于存放皇家档案与宝物，是太和殿广场的重要附属建筑，体现了严格的对称美学。
2_1,外朝两翼,文华殿,明永乐十八年（1420），清康熙二十二年（1683）重建,三交六椀菱花,外朝东路核心建筑，明清帝王经筵之所，太子曾摄事于此故宫博物院,文华殿是外朝东路的核心建筑，主要作为明清帝王举行“经筵”典礼的场所，即由儒臣为皇帝讲授经史。此外，明代太子也曾在此摄事，是皇家推崇文教、培养储君的重要文化空间。
