apron,variant,introduction,meaning,buildings
如意纹,如意云头纹,主体为一个简洁的“如意云头”，形似灵芝或祥云，由流畅的曲线构成，底部以对称的卷涡收尾。整体造型古朴、大方，线条干净利落，没有多余的装饰。,吉祥如意、平安顺遂、福寿绵长,保和殿、养心殿、坤宁门
如意纹,双如意云纹,由两个如意云头对称组合而成，中间以一个方形或菱形构件连接，形成一个完整的对称图案。其线条比如意云头纹更为繁复，视觉上更具装饰性和节奏感。,双喜临门、好事成双、富贵双全,坤宁宫、慈宁宫、中左门
如意纹,如意花卉纹,在如意云头的轮廓内，融入了抽象的花卉或卷草纹样。图案中心向上延伸，形似花蕊，两侧的卷涡则如舒展的花瓣，整体造型更加灵动、柔美，富有生命力。,吉祥如意、生机勃勃、锦上添花,钦安殿、养性斋、位育斋
如意纹,如意宝珠纹,在如意云头的基础上，于中心顶部增加了一个圆形的“宝珠”或“火焰珠”元素。如意云头托举着宝珠，造型更为饱满、庄重，象征着对珍宝的守护与尊崇。,吉祥如意、福运高照、招财进宝,咸福宫
回字纹,方胜云头回纹,采用外方内圆的构图，外围由双层金色线条勾勒出圆角矩形框架。核心部分由左右对称的方形“回纹”构成，象征连绵不断；回纹上方衔接如意云头，线条流畅婉转，形成“方胜”之势。,富贵不断、同心双合、吉祥如意,斋宫
回字纹,卷草云盘灵芝回纹,内部主体由两个向内卷曲的螺旋纹样组成，形似羊角或卷草。中心向上延伸出灵芝或花蕾状造型，顶端尖锐，两侧舒展。整体线条如行云流水，充满动感与生命力。,生生不息、万代长春、福运连连,延晖阁
雕刻裙板,雕刻裙板（龙）,该纹样通常采用高浮雕工艺，主体为抽象化的“夔龙”。龙身呈几何状盘曲，线条刚劲有力，龙头张口怒目，独角或双角高耸。四周常衬以卷云纹或雷纹，整体构图饱满严谨，充满威严与张力，展现出一种古朴而庄重的秩序美。,皇权至上、镇宅辟邪、国泰民安,太和殿、中和殿、乾清宫、皇极殿
雕刻裙板,雕刻裙板（竹）,纹样以写实与写意相结合的手法，雕刻出数竿修竹。竹竿挺拔劲健，竹节分明，寓意“节节高升”。竹叶疏密有致，呈“个”字或“介”字形分布，随风摇曳，姿态生动。构图清雅脱俗，具有浓厚的中国画意境。,高风亮节、长青不老,钟粹宫、长春宫、阅是楼
雕刻裙板,雕刻裙板（万字锦）,该纹样由无数个“卍”字通过几何线条相互连接、延伸而成。在雕刻裙板上，它既可以作为满铺的浮雕底纹衬托主花，也可以作为独立的几何图案装饰，给人以规整、繁复且连绵的视觉冲击。,万寿无疆、吉祥如意,翊坤宫、储秀宫、太极殿
夔纹,方折夔龙纹,纹样以直线与直角转折为主，构成多个“T”形与“L”形结构，形成对称的几何图案。整体呈方形，内部由多个回纹与卷云纹组合而成，线条刚劲有力，布局严谨，具有强烈的秩序感与装饰性。,刚正不阿、国泰民安、福寿绵长,武英殿
夔纹,圆角夔龙纹,纹样外框为圆角矩形，内部由流畅的曲线与圆角转折构成，形成对称的夔龙图案。龙身盘曲，头部昂扬，尾部卷曲，整体线条柔和圆润，富有动感与韵律，展现出一种温婉而庄重的美感。,吉祥如意、生生不息,寿康宫
夔龙团,卷云夔龙团纹,纹样整体呈竖向椭圆形，外轮廓由流畅的卷云纹勾勒，内部以对称的夔龙为主体，龙身盘曲缠绕，形成多个环形结构。中心区域为镂空设计，上下两端饰以云头与卷草纹，充满动感与韵律。,龙行天下、吉祥如意、万代长春,倦勤斋、阅是楼
夔龙团,双夔龙戏珠团纹,纹样呈圆形团花状，中心为一圆珠，两侧各有一条夔龙相对而视，龙首昂扬，龙身卷曲，形成对称的“双龙戏珠”格局。外圈由卷云纹与如意头纹环绕，整体构图饱满，线条圆润，充满动感与张力。,双龙戏珠，吉祥如意，福运连连,永寿宫
