所属区域,建筑名称,修建 / 重建核心时期,窗棂纹样样式,核心寓意,官方备注
外朝中路（礼制核心区）,午门,明永乐十八年（1420），清顺治四年（1647）重修,乳钉纹（门板）+ 三交六椀菱花（券窗）,乳钉纹寓意五行相生、避凶化吉、等级威仪；三交六椀寓意天地交感、皇权正统、江山永固,紫禁城正门，最高等级礼制建筑，窗棂形制匹配帝王正门等级
,太和殿（金銮殿）,明永乐十八年（1420），清康熙三十四年（1695）重建,三交六椀菱花（含满天星、艾叶、龟背锦变体）,天地交感、四海升平、皇权至高无上、国泰民安、万物相生,紫禁城核心礼制大殿，故宫窗棂最高等级形制，菱花为水生纹样，暗含防火的文化寓意
,中和殿,明永乐十八年（1420），清顺治三年（1646）重修,三交六椀菱花,天地交泰、万事顺遂、皇权稳固、典礼安顺,三大殿之一，皇帝大典前休憩、阅视之所故宫博物院
,保和殿,明永乐十八年（1420），清顺治三年（1646）重修,三交六椀菱花,江山永固、政通人和、君臣和合、科举昌荣,三大殿之一，清代殿试举办地故宫博物院
,协和门 / 熙和门,明永乐十八年（1420），明清多次灾后重修,正方格横竖纹（民间俗称豆腐格）,品行端正、法度严明、内外和合、朝堂肃穆,太和殿东西侧礼制通道门，外朝与内廷过渡建筑
,乾清门,明永乐十八年（1420），清顺治十二年（1655）重修,正方格横竖纹（豆腐格）,处处正直、皇权刚正、内廷肃穆、政令通达,内廷正门，清代御门听政之所
外朝东西两翼,文华殿,明永乐十八年（1420），清康熙二十二年（1683）重建,三交六椀菱花,文运昌盛、天地和合、文脉绵长、经筵正统,外朝东路核心建筑，明清帝王经筵之所，太子曾摄事于此故宫博物院
,武英殿,明永乐十八年（1420），清顺治年间重修,三交六椀菱花,武运安宁、江山稳固、刚正威仪、典籍传承,外朝西路核心建筑，明末李自成曾在此称帝，清代为皇家刻书之所
内廷后三宫（帝后核心生活区）,乾清宫,明永乐十八年（1420），清嘉庆二年（1797）重建,三交六椀菱花,天地交泰、皇权永固、帝德广运、后宫安顺,内廷正殿，明清皇帝寝宫 / 日常理政之所，窗棂为内廷最高等级
,交泰殿,明嘉靖年间始建，清嘉庆二年（1797）重建,三交六椀菱花,天地交合、国泰民安、阴阳和合、帝后同心,后三宫之中，皇后大典、接受朝贺之所，存放二十五宝玺故宫博物院
,坤宁宫,明永乐十八年（1420），清顺治十二年（1655）重修,直棂吊搭窗 + 双交四椀菱花横披窗,直棂寓意辟邪镇宅、萨满祭祀肃穆；双交四椀寓意高贵祥和、帝后和合、多子多福,皇后正宫，清代改为萨满祭祀场所，保留满族关外窗纸糊在外的形制故宫博物院
,养心殿,明嘉靖十六年（1537），清雍正年间大规模重修,轱辘钱纹（铜钱纹）+ 步步锦纹,轱辘钱寓意财源广进、广纳贤才、江山富庶；步步锦寓意步步高升、前程锦绣、政务顺遂,清代雍正后皇帝日常理政与寝宫，集政务、居住、祭祀功能于一体
内廷东六宫（妃嫔居所）,景仁宫,明永乐十八年（1420），明清多次修缮,明间双交四椀菱花，原一马三箭直棂窗，清末改为方格玻璃窗,双交四椀寓意高贵祥和、妃嫔安顺；一马三箭寓意辟邪除秽、家宅安宁,东六宫之首，康熙皇帝出生地，光绪珍妃曾居于此
,钟粹宫,明永乐十八年（1420），明嘉靖十四年更名，清多次修缮,冰裂纹 + 步步锦纹,冰裂纹寓意坚韧不屈、冬去春来、生机盎然；步步锦寓意前程顺遂、起居安康,明清妃嫔居所，咸丰皇帝幼年曾居于此
,承乾宫,明永乐十八年（1420），明清多次修缮,双交四椀菱花 + 步步锦支摘窗,双交四椀寓意尊贵和顺、荣宠安康；步步锦寓意生活顺遂、步步高升,明清贵妃居所，顺治董鄂妃曾居于此
,景阳宫,明永乐十八年（1420），清康熙二十五年（1686）重修,双交四椀菱花 + 正方格纹,文运绵长、藏书安稳、品行端方、福泽绵延,清代皇家藏书之所，东六宫最北侧建筑
,永和宫,明永乐十八年（1420），清康熙二十五年（1686）重修,步步锦支摘窗 + 万字团寿纹,福寿绵长、生活和顺、步步吉祥、子嗣安康,明清妃嫔居所，光绪隆裕皇后曾居于此
,延禧宫,明永乐十八年（1420），清宣统元年（1909）改建灵沼轩,原建筑为双交四椀菱花 + 步步锦纹，现存西洋建筑为铸铁花窗,原纹样寓意平安顺遂、绵延福泽,明清妃嫔居所，清末火毁后改建为西洋水殿，为故宫唯一西洋式建筑
内廷西六宫（妃嫔居所）,翊坤宫,明永乐十八年（1420），明嘉靖十四年更名，清多次修缮,步步锦支摘窗 + 万字锦底五蝠捧寿纹,步步锦寓意步步高升、前程似锦；万字纹 + 五蝠捧寿寓意万福万寿、五福临门,明清妃嫔居所，慈禧太后曾居于此，清末与储秀宫打通形成四进院
,储秀宫,明永乐十八年（1420），清顺治十二年（1655）重修,步步锦纹 + 喜鹊登梅纹,步步锦寓意生活顺遂、步步高升；喜鹊登梅寓意喜上眉梢、吉祥如意、多子多福,慈禧太后长期居所，同治皇帝出生于此
,永寿宫,明永乐十八年（1420），清顺治十二年（1655）重修,双交四椀菱花 + 松鼠葡萄纹,双交四椀寓意尊贵安康；松鼠葡萄寓意多子多福、福寿绵长,明清妃嫔居所，曾作为乾隆孝贤皇后居所、慈禧太后六十大寿贺礼处所
,长春宫,明永乐十八年（1420），清康熙二十二年（1683）重修,步步锦支摘窗 + 万字纹,万福绵长、前程似锦、起居安顺、福寿安康,明清妃嫔居所，慈禧太后、乾隆孝贤皇后曾居于此
,咸福宫,明永乐十八年（1420），清康熙二十二年（1683）重修,双交四椀菱花 + 步步锦纹,品行端方、福运安康、步步高升、宫宇安宁,明清妃嫔居所，乾隆皇帝、嘉庆皇帝曾居于此
,启祥宫（太极殿）,明永乐十八年（1420），明嘉靖十四年更名，清多次修缮,步步锦支摘窗 + 福寿纹,福寿双全、步步高升、平安顺遂,明清妃嫔居所，清末与长春宫打通，慈禧太后曾居于此
太后 / 太妃宫区,慈宁宫,明嘉靖十五年（1536），万历年间重建，清顺治十年（1653）重修,双交四椀菱花槅扇窗,尊贵祥和、福寿绵长、太后安康、母仪天下,太皇太后、皇太后居所，孝庄文皇后曾居于此故宫博物院
,寿康宫,清雍正十三年（1735）始建，乾隆元年（1736）建成,三交六椀菱花,福寿康宁、天地和合、母仪天下、万福绵延,皇太后居所，乾隆生母孝圣宪皇后（甄嬛原型）长期居所
,寿安宫,明永乐十八年（1420），清乾隆十六年（1751）改建,双交四椀菱花 + 步步锦纹,福寿安康、平安顺遂、晚年清宁,太妃、太嫔居所，乾隆为母亲孝圣宪皇后六十大寿改建
宁寿宫区（乾隆太上皇宫殿区）,皇极殿,清康熙二十八年（1689）始建，乾隆三十七年（1772）重建,三交六椀菱花,皇权永固、四海升平、太上皇威仪、江山万年,宁寿宫区正殿，乾隆归政后举办典礼之所，仿太和殿形制建造
,宁寿宫,清康熙二十八年（1689）始建，乾隆三十七年（1772）重建,直棂吊搭窗 + 双交四椀菱花横披窗 / 槅扇窗,直棂寓意祭祀肃穆、辟邪镇宅；双交四椀寓意高贵祥和、晚年安顺,仿坤宁宫形制，清代萨满祭祀之所，乾隆归政后寝宫故宫博物院
,倦勤斋,清乾隆三十七年（1772）始建，乾隆四十一年（1776）建成,步步锦纹 + 梅花纹,步步锦寓意晚年安闲、福寿绵长；梅花寓意高洁傲骨、君子之风,乾隆太上皇休憩之所，故宫内装饰最奢华的建筑之一
,萃赏楼,清乾隆三十七年（1772）始建,步步锦支摘窗 + 步步锦隔扇门,步步吉祥、赏玩怡情、安享清宁、文脉清雅,宁寿宫花园（乾隆花园）核心建筑，乾隆藏书赏玩之所故宫博物院
,符望阁（迷楼）,清乾隆三十七年（1772）始建，乾隆四十一年（1776）建成,双交四椀菱花 + 西番莲纹,江山永固、福寿绵长、四方安靖、天下归心,宁寿宫花园最高大建筑，室内装修以漆纱、掐丝珐琅为特色，俗称 “迷楼”
,碧螺亭,清乾隆三十七年（1772）始建,五瓣梅花纹棂花,傲骨迎春、五福临门、高洁清雅、平安顺遂,宁寿宫花园建筑，全国唯一五瓣梅花形平面宫殿建筑
御花园及园林建筑,万春亭 / 千秋亭,明嘉靖十五年（1536）始建，清多次修缮,三交六椀菱花,天地和合、四季长春、万寿千秋、国泰民安,御花园内对称建造的标志性建筑，造型完全一致，仅彩画有细微差别故宫博物院
,绛雪轩,明永乐十八年（1420），清多次修缮,万字纹棂花,万事吉祥、万寿无疆、文韵清雅、四季安和,御花园东侧建筑，乾隆御题 “绛雪轩”，为皇家赏景休憩之所
,临溪亭,明万历十一年（1583）始建，清多次修缮,斜方格纹（网纹）,广纳贤才、财源广进、临水安宁、赏景怡情,御花园内临水建筑，皇家赏花观鱼之所
,养性斋,明永乐十八年（1420），清嘉庆十九年（1814）改建,冰裂纹 + 步步锦纹,修身养性、高洁清雅、福寿绵长、晚年安闲,御花园西侧建筑，清末溥仪英文老师庄士敦曾居于此
