type,populartime,intruductions,meanings,
三交六椀菱花,明永乐,由三根棂条在同一中心点相交，形成对称而富有张力的放射骨架。三角形交接处形成六瓣菱花，中心常为圆形，整体呈现 “菱花为实、圆孔为虚” 的虚实对比效果。,天地交感、政权稳固、国泰民安。,
轱辘钱,明嘉靖,造型核心为圆圈内嵌内向弧形方格，整体形态高度模仿中国古代圆形方孔的铜钱。棂条多为圆浑或带弧度的线条，拼接时圈与方弧组合规整、连绵成纹。,财源滚滚、广招人才。,
正方格,明永乐,由大小相等的正方形格子构成。这些格子通常以“上下左右对称”的方式排列，由内向外延伸，形成连续、重复的图案。,品行正直、刚毅稳固。,
冰裂纹,清乾隆,冰裂纹窗棂以不规则、自然交错的棂条构成，形态如同冰冻开裂后的自然纹理，疏密错落、灵动自然，形成质朴清雅的几何纹理。,寒窗苦读终成大器、坚韧高洁、否极泰来。,
双交四椀菱花,明永乐,其等级低于“三交六椀菱花”，一束花组由四个花瓣组成，形状像四个圆碗，故名“四椀”。根据相交方式，可分为正交和斜交两种形制。,阴阳相合、四时有序，天地和谐、滋生万物。,
步步锦,清乾隆,步步锦的图案由长短不同的直棂和横棂按一定规律组合而成，直棂与横棂各自端头逗着对方的中部与边部，形成丁字形状，且由外长而内短相逗，构成一步步变化的几何图案。,步步高升、前程美好。,
斜方格,明万历,由两根或多根斜向的棂条相互交叉，形成一个个连续的菱形（或称斜方形）网格。斜方格的菱形结构在视觉上更具流动感和延伸性，显得更为灵动。,网罗财富、丰收富足。,
万字纹,清乾隆,以“卍”字为基础，由十字结构四端向同一方向延伸并旋转构成。其核心是四方连续的“万字不到头”结构，通过首尾衔接形成连绵不断的网状图案。,万寿无疆、万事吉祥、富贵永续。,
灯笼框,清乾隆,灯笼锦的结构通常以正八边形为基本骨架，棂条排列疏密相间，巧妙地用透雕的团花或卡子花连接。其图案中间常留有较大的空白区域，被称为“灯笼框”，既利于采光，又形似悬挂的灯笼，整体造型端庄清雅，富有装饰美感。,前途光明、喜庆祥和、人丁兴旺。,
一马三箭,清乾隆,一马三箭的结构以竖向直棂条为主体，在棂条的上、中、下三处，各用三根横向短木条垂直穿过，形成三组“三横一竖”的固定单元。整体观之，竖向长棂如马，横向短条似箭，图案简洁规整，疏朗有致，兼具结构稳固与装饰之美。,驱邪避凶、威震四方。,
玻璃心屉,清咸丰,玻璃心屉的结构通常是指在木构窗框的中心部位，采用整块或大面积的透明/半透明玻璃镶嵌，取代了传统的木雕棂条。这种做法打破了传统木格的密集感，视觉上通透敞亮，是近代建筑采光技术改良的产物。,光明磊落、通透坦荡。,。
拐子纹,清雍正,拐子纹的结构由直线为主构成，线条转折硬朗，多呈90度直角回旋。其形态模仿龙的头部或卷草的抽象形态，通过直线的横竖穿插、折转组合成类似“拐杖”或“如意头”的几何图案，整体风格简练刚劲，富有节奏感。,福寿绵长、吉祥如意。,
套方式,清康熙,套方式的结构由两个或多个方形相互套叠、旋转或交错构成。常见的形式有“方胜”、“回文”或“套方锦”。其线条规整，几何感强，通过方正的框架层层相套，形成严谨而富有秩序的视觉效果。,方正不阿、连绵不断、富贵不断头。,
